"individualAdultID","lightWavelength","behaviorType","day","Value"
"9","365nm","Time_In_Thigmotaxis_Zone",10,512.99
"10","365nm","Time_In_Thigmotaxis_Zone",1,327.32
"10","365nm","Time_In_Thigmotaxis_Zone",2,371.19
"10","365nm","Time_In_Thigmotaxis_Zone",3,375.19
"10","365nm","Time_In_Thigmotaxis_Zone",4,356.89
"10","365nm","Time_In_Thigmotaxis_Zone",5,500.12
"10","365nm","Time_In_Thigmotaxis_Zone",6,503.24
"10","365nm","Time_In_Thigmotaxis_Zone",7,521.59
"10","365nm","Time_In_Thigmotaxis_Zone",8,502.44
"10","365nm","Time_In_Thigmotaxis_Zone",9,534.23
"10","365nm","Time_In_Thigmotaxis_Zone",10,535.46
"11","365nm","Time_In_Thigmotaxis_Zone",1,341.81
"11","365nm","Time_In_Thigmotaxis_Zone",2,388.17
"11","365nm","Time_In_Thigmotaxis_Zone",3,371.2
"11","365nm","Time_In_Thigmotaxis_Zone",4,362.18
"11","365nm","Time_In_Thigmotaxis_Zone",5,512.21
"11","365nm","Time_In_Thigmotaxis_Zone",6,500.14
"11","365nm","Time_In_Thigmotaxis_Zone",7,522.09
"11","365nm","Time_In_Thigmotaxis_Zone",8,505.9
"11","365nm","Time_In_Thigmotaxis_Zone",9,521.65
"11","365nm","Time_In_Thigmotaxis_Zone",10,547.89
"12","365nm","Time_In_Thigmotaxis_Zone",1,356.92
"12","365nm","Time_In_Thigmotaxis_Zone",2,381.14
"12","365nm","Time_In_Thigmotaxis_Zone",3,367.28
"12","365nm","Time_In_Thigmotaxis_Zone",4,365.18
"12","365nm","Time_In_Thigmotaxis_Zone",5,500.11
"12","365nm","Time_In_Thigmotaxis_Zone",6,500.23
"12","365nm","Time_In_Thigmotaxis_Zone",7,501.37
"12","365nm","Time_In_Thigmotaxis_Zone",8,506.89
"12","365nm","Time_In_Thigmotaxis_Zone",9,497.08
"12","365nm","Time_In_Thigmotaxis_Zone",10,550.89
"13","365nm","Time_In_Thigmotaxis_Zone",1,364.19
"13","365nm","Time_In_Thigmotaxis_Zone",2,376.38
"13","365nm","Time_In_Thigmotaxis_Zone",3,354.16
"13","365nm","Time_In_Thigmotaxis_Zone",4,377.14
"13","365nm","Time_In_Thigmotaxis_Zone",5,510.03
"13","365nm","Time_In_Thigmotaxis_Zone",6,503.23
"13","365nm","Time_In_Thigmotaxis_Zone",7,502.56
"13","365nm","Time_In_Thigmotaxis_Zone",8,502.56
"13","365nm","Time_In_Thigmotaxis_Zone",9,511.09
"13","365nm","Time_In_Thigmotaxis_Zone",10,507.34
"14","365nm","Time_In_Thigmotaxis_Zone",1,377.13
"14","365nm","Time_In_Thigmotaxis_Zone",2,379.74
"14","365nm","Time_In_Thigmotaxis_Zone",3,378.36
"14","365nm","Time_In_Thigmotaxis_Zone",4,385.92
"14","365nm","Time_In_Thigmotaxis_Zone",5,509.82
"14","365nm","Time_In_Thigmotaxis_Zone",6,504.47
"14","365nm","Time_In_Thigmotaxis_Zone",7,503.75
