dumyID_EachDay_EachLight,trailID,lightWavelength,behaviorType,day,value
8,365nm_3_2,365nm,Time_In_Thigmotaxis_Zone,3,307.46
8,365nm_4_2,365nm,Time_In_Thigmotaxis_Zone,4,316.23
8,365nm_5_2,365nm,Time_In_Thigmotaxis_Zone,5,425.32
8,365nm_6_2,365nm,Time_In_Thigmotaxis_Zone,6,513.66
8,365nm_7_2,365nm,Time_In_Thigmotaxis_Zone,7,518.43
8,365nm_8_2,365nm,Time_In_Thigmotaxis_Zone,8,531.62
8,365nm_9_2,365nm,Time_In_Thigmotaxis_Zone,9,534.26
8,365nm_10_2,365nm,Time_In_Thigmotaxis_Zone,10,513.66
9,365nm_1_2,365nm,Time_In_Thigmotaxis_Zone,1,312.46
9,365nm_2_2,365nm,Time_In_Thigmotaxis_Zone,2,311.25
9,365nm_3_2,365nm,Time_In_Thigmotaxis_Zone,3,351.32
9,365nm_4_2,365nm,Time_In_Thigmotaxis_Zone,4,325.65
9,365nm_5_2,365nm,Time_In_Thigmotaxis_Zone,5,406.32
9,365nm_6_2,365nm,Time_In_Thigmotaxis_Zone,6,524.35
9,365nm_7_2,365nm,Time_In_Thigmotaxis_Zone,7,512.62
9,365nm_8_2,365nm,Time_In_Thigmotaxis_Zone,8,509.65
9,365nm_9_2,365nm,Time_In_Thigmotaxis_Zone,9,512.32
9,365nm_10_2,365nm,Time_In_Thigmotaxis_Zone,10,519.25
10,365nm_1_2,365nm,Time_In_Thigmotaxis_Zone,1,324.43
10,365nm_2_2,365nm,Time_In_Thigmotaxis_Zone,2,302.65
10,365nm_3_2,365nm,Time_In_Thigmotaxis_Zone,3,342.65
10,365nm_4_2,365nm,Time_In_Thigmotaxis_Zone,4,324.45
10,365nm_5_2,365nm,Time_In_Thigmotaxis_Zone,5,425.32
10,365nm_6_2,365nm,Time_In_Thigmotaxis_Zone,6,524.75
10,365nm_7_2,365nm,Time_In_Thigmotaxis_Zone,7,508.54
10,365nm_8_2,365nm,Time_In_Thigmotaxis_Zone,8,508.63
10,365nm_9_2,365nm,Time_In_Thigmotaxis_Zone,9,549.65
10,365nm_10_2,365nm,Time_In_Thigmotaxis_Zone,10,524.67
11,365nm_1_3,365nm,Time_In_Thigmotaxis_Zone,1,313.44
11,365nm_2_3,365nm,Time_In_Thigmotaxis_Zone,2,316.32
11,365nm_3_3,365nm,Time_In_Thigmotaxis_Zone,3,341.11
11,365nm_4_3,365nm,Time_In_Thigmotaxis_Zone,4,316.32
11,365nm_5_3,365nm,Time_In_Thigmotaxis_Zone,5,402.32
11,365nm_6_3,365nm,Time_In_Thigmotaxis_Zone,6,516.32
11,365nm_7_3,365nm,Time_In_Thigmotaxis_Zone,7,503.46
11,365nm_8_3,365nm,Time_In_Thigmotaxis_Zone,8,512.66
11,365nm_9_3,365nm,Time_In_Thigmotaxis_Zone,9,532.65
11,365nm_10_3,365nm,Time_In_Thigmotaxis_Zone,10,519.65
12,365nm_1_3,365nm,Time_In_Thigmotaxis_Zone,1,322.67
12,365nm_2_3,365nm,Time_In_Thigmotaxis_Zone,2,310.23
12,365nm_3_3,365nm,Time_In_Thigmotaxis_Zone,3,306.23
12,365nm_4_3,365nm,Time_In_Thigmotaxis_Zone,4,305.32
12,365nm_5_3,365nm,Time_In_Thigmotaxis_Zone,5,417.66
12,365nm_6_3,365nm,Time_In_Thigmotaxis_Zone,6,514.88
12,365nm_7_3,365nm,Time_In_Thigmotaxis_Zone,7,506.32
12,365nm_8_3,365nm,Time_In_Thigmotaxis_Zone,8,503.26
12,365nm_9_3,365nm,Time_In_Thigmotaxis_Zone,9,504.32
12,365nm_10_3,365nm,Time_In_Thigmotaxis_Zone,10,528.32
13,365nm_1_3,365nm,Time_In_Thigmotaxis_Zone,1,356.45
13,365nm_2_3,365nm,Time_In_Thigmotaxis_Zone,2,311.23
13,365nm_3_3,365nm,Time_In_Thigmotaxis_Zone,3,312.35
13,365nm_4_3,365nm,Time_In_Thigmotaxis_Zone,4,316.65
13,365nm_5_3,365nm,Time_In_Thigmotaxis_Zone,5,403.32
13,365nm_6_3,365nm,Time_In_Thigmotaxis_Zone,6,529.34
13,365nm_7_3,365nm,Time_In_Thigmotaxis_Zone,7,509.65
13,365nm_8_3,365nm,Time_In_Thigmotaxis_Zone,8,504.99
13,365nm_9_3,365nm,Time_In_Thigmotaxis_Zone,9,519.32
13,365nm_10_3,365nm,Time_In_Thigmotaxis_Zone,10,509.64
14,365nm_1_3,365nm,Time_In_Thigmotaxis_Zone,1,342.87
14,365nm_2_3,365nm,Time_In_Thigmotaxis_Zone,2,302.12
14,365nm_3_3,365nm,Time_In_Thigmotaxis_Zone,3,352.32
14,365nm_4_3,365nm,Time_In_Thigmotaxis_Zone,4,325.61
14,365nm_5_3,365nm,Time_In_Thigmotaxis_Zone,5,412.35
14,365nm_6_3,365nm,Time_In_Thigmotaxis_Zone,6,519.65
14,365nm_7_3,365nm,Time_In_Thigmotaxis_Zone,7,512.38
14,365nm_8_3,365nm,Time_In_Thigmotaxis_Zone,8,531.26
14,365nm_9_3,365nm,Time_In_Thigmotaxis_Zone,9,536.99
14,365nm_10_3,365nm,Time_In_Thigmotaxis_Zone,10,508.23
15,365nm_1_3,365nm,Time_In_Thigmotaxis_Zone,1,321.08
15,365nm_2_3,365nm,Time_In_Thigmotaxis_Zone,2,305.11
15,365nm_3_3,365nm,Time_In_Thigmotaxis_Zone,3,312.32
15,365nm_4_3,365nm,Time_In_Thigmotaxis_Zone,4,328.66
15,365nm_5_3,365nm,Time_In_Thigmotaxis_Zone,5,405.66
15,365nm_6_3,365nm,Time_In_Thigmotaxis_Zone,6,516
15,365nm_7_3,365nm,Time_In_Thigmotaxis_Zone,7,509.63
15,365nm_8_3,365nm,Time_In_Thigmotaxis_Zone,8,521.99
15,365nm_9_3,365nm,Time_In_Thigmotaxis_Zone,9,532.44
15,365nm_10_3,365nm,Time_In_Thigmotaxis_Zone,10,519.62
1,365nm_1_1,365nm,Time_In_Transition_Zone,1,156.23
1,365nm_2_1,365nm,Time_In_Transition_Zone,2,132.43
1,365nm_3_1,365nm,Time_In_Transition_Zone,3,131.26
1,365nm_4_1,365nm,Time_In_Transition_Zone,4,136.25
1,365nm_5_1,365nm,Time_In_Transition_Zone,5,155.32
1,365nm_6_1,365nm,Time_In_Transition_Zone,6,44.15
1,365nm_7_1,365nm,Time_In_Transition_Zone,7,39.46
1,365nm_8_1,365nm,Time_In_Transition_Zone,8,44.12
1,365nm_9_1,365nm,Time_In_Transition_Zone,9,49.15
1,365nm_10_1,365nm,Time_In_Transition_Zone,10,46.32
