study_number,Item_type,year_publication,author,title,database,journal_name,DOI,abstract,language,country,yi,vi,n_control,n_treatment,m_control,m_treatment,v_control,v_treatment,lux_control,lux_treatment,experiment_duration_hr,spectra_peak_treatment_nm,exposure_duration_night_hr,exposure_duration_total_hr,v_unit,m_unit,spectra_unit,v_type,eff_size_type,pop_lat,pop_long,species,life_stage_exposure,life_stage_experiment,behavioral_category,behavioral_category2,behavioral_category3,sex,fish_origin,where_experiment,temp_c,light_placement,time_of_assay,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176371,,en,china,-1.16847,4.16E-03,15,15,4167.759,1295.514,228.4446,315.7733,0.03,20,168,420,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176372,,en,china,-1.15253,3.09E-03,15,15,4247.125,1341.403,377.662,262.8405,0.03,20,192,420,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176373,,en,china,-1.09673,2.25E-03,15,15,4038.162,1348.591,305.1266,226.0383,0.03,20,216,420,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176374,,en,china,-1.05067,2.09E-03,15,15,4178.118,1461.103,431.6579,210.2089,0.03,20,240,420,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176355,,en,china,0.204726,5.82E-04,15,15,321.31,394.308,21.77561,25.36504,0.03,20,24,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176356,,en,china,0.073397,1.01E-03,15,15,332.6853,358.022,19.50672,38.75799,0.03,20,48,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176357,,en,china,0.019557,9.14E-04,15,15,337.9313,344.6053,18.17314,35.84913,0.03,20,72,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176358,,en,china,0.079768,5.22E-04,15,15,321.5153,348.2127,17.54169,24.24205,0.03,20,96,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176359,,en,china,0.508657,6.64E-05,15,15,310.0833,515.686,8.761074,7.244839,0.03,20,120,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176360,,en,china,0.485938,2.73E-04,15,15,310.378,504.5813,9.400143,28.47535,0.03,20,144,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176361,,en,china,0.487205,1.12E-04,15,15,318.8213,518.9647,12.21486,7.662023,0.03,20,168,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176362,,en,china,0.623111,2.07E-04,15,15,321.764,600,17.93735,0,0.03,20,192,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176363,,en,china,0.578815,1.40E-04,15,15,336.3373,600,15.41533,0,0.03,20,216,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176364,,en,china,0.599337,6.38E-05,15,15,329.5053,600,10.19253,0,0.03,20,240,470,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176365,,en,china,-0.11946,7.08E-04,15,15,4380.473,3887.237,351.2199,251.615,0.03,20,24,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176366,,en,china,-0.10079,6.31E-04,15,15,4363.193,3944.855,234.4694,319.8566,0.03,20,48,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176367,,en,china,-0.09797,5.09E-04,15,15,4294.291,3893.523,306.2103,196.6253,0.03,20,72,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176368,,en,china,-0.07536,2.89E-04,15,15,4176.969,3873.747,161.6472,206.5523,0.03,20,96,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176369,,en,china,-0.79065,3.86E-03,15,15,4167.224,1890.052,127.6935,451.3284,0.03,20,120,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176370,,en,china,-0.86646,2.83E-03,15,15,4161.342,1749.584,142.9955,355.4566,0.03,20,144,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176371,,en,china,-0.76001,1.74E-03,15,15,4167.759,1949.098,228.4446,295.7816,0.03,20,168,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176372,,en,china,-1.07855,9.88E-03,15,15,4247.125,1444.393,377.662,540.9398,0.03,20,192,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176373,,en,china,-1.00754,6.47E-03,15,15,4038.162,1474.399,305.1266,445.5222,0.03,20,216,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176374,,en,china,-1.42767,6.67E-03,15,15,4178.118,1002.196,431.6579,299.6648,0.03,20,240,470,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176355,,en,china,0.07373,4.87E-04,15,15,321.31,345.8953,21.77561,18.03788,0.03,20,24,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176356,,en,china,0.009938,5.25E-04,15,15,332.6853,336.008,19.50672,22.37072,0.03,20,48,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176357,,en,china,-0.0588,4.98E-04,15,15,337.9313,318.6353,18.17314,21.54464,0.03,20,72,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176358,,en,china,0.019448,0.001491,15,15,321.5153,327.8293,17.54169,45.64791,0.03,20,96,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176359,,en,china,0.114932,3.43E-04,15,15,310.0833,347.8507,8.761074,22.91576,0.03,20,120,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176360,,en,china,0.137076,2.48E-04,15,15,310.378,355.9773,9.400143,18.84994,0.03,20,144,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176361,,en,china,0.055778,3.59E-04,15,15,318.8213,337.11,12.21486,21.11723,0.03,20,168,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176362,,en,china,0.4638,2.96E-04,15,15,321.764,511.6387,17.93735,18.63825,0.03,20,192,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176363,,en,china,0.422907,1.91E-04,15,15,336.3373,513.3827,15.41533,14.1767,0.03,20,216,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176364,,en,china,0.451935,2.15E-04,15,15,329.5053,517.768,10.19253,24.62257,0.03,20,240,500,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176365,,en,china,-0.14878,0.001436,15,15,4380.473,3774.898,351.2199,464.1571,0.03,20,24,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176366,,en,china,-0.13076,6.64E-04,15,15,4363.193,3828.385,234.4694,322.029,0.03,20,48,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176367,,en,china,-0.10545,7.49E-04,15,15,4294.291,3864.507,306.2103,302.8886,0.03,20,72,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176368,,en,china,-0.05062,3.27E-04,15,15,4176.969,3970.795,161.6472,231.6458,0.03,20,96,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176369,,en,china,-0.08654,6.32E-04,15,15,4167.224,3821.755,127.6935,353.2895,0.03,20,120,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176370,,en,china,-0.05813,5.62E-04,15,15,4161.342,3926.343,142.9955,334.43,0.03,20,144,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176371,,en,china,-0.05544,4.60E-04,15,15,4167.759,3942.989,228.4446,246.0295,0.03,20,168,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176372,,en,china,0.247766,5.86E-04,15,15,4247.125,5441.249,377.662,161.8571,0.03,20,192,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176373,,en,china,0.295216,5.30E-04,15,15,4038.162,5424.931,305.1266,257.0656,0.03,20,216,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176374,,en,china,0.27471,7.21E-04,15,15,4178.118,5499.028,431.6579,64.81131,0.03,20,240,500,10,24,mm,mm,nm,V,LRR,NA,NA,Danio rerio,adult,adult,activity,distance moved,locomotion,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176376,,en,china,0.0059,4.71E-04,15,15,321.31,323.2113,21.77561,16.06557,0.03,20,24,520,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
