study_number,Item_type,year_publication,author,title,database,journal_name,DOI,abstract,language,country,yi,vi,n_control,n_treatment,m_control,m_treatment,v_control,v_treatment,lux_control,lux_treatment,experiment_duration_hr,spectra_peak_treatment_nm,exposure_duration_night_hr,exposure_duration_total_hr,v_unit,m_unit,spectra_unit,v_type,eff_size_type,pop_lat,pop_long,species,life_stage_exposure,life_stage_experiment,behavioral_category,behavioral_category2,behavioral_category3,sex,fish_origin,where_experiment,temp_c,light_placement,time_of_assay,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.006,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,-0.151,0.00608,78,126,0.802,0.69,0.102,0.13,0,20,24,white led,8,24,proportion,proportion,,V,LRR,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,activity,diurnal activity,group,mixed,wild,wild,,BW,day,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.007,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,0.029,0.02062,78,126,0.68,0.7,0.24,0.18,0,20,192,white led,8,24,proportion,proportion,,V,LRR,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,activity,diurnal activity,group,mixed,wild,wild,,BW,day,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.008,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,-0.206,0.01461,78,126,0.75,0.61,0.06,0.25,0,20,336,white led,8,24,proportion,proportion,,V,LRR,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,activity,diurnal activity,group,mixed,wild,wild,,BW,day,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.009,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,,,78,126,,,,,0,20,,white led,8,24,,,,V,,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,exploration,distance from shelter,,mixed,wild,wild,,BW,,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.009,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,0.32,0.0795,78,126,NA,NA,NA,NA,0,20,24,white led,8,24,,,,V,LRR,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,boldness,emergence from shelter,,mixed,wild,wild,,BW,day,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.009,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,-0.55,0.0795,78,126,NA,NA,NA,NA,0,20,192,white led,8,24,,,,V,LRR,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,boldness,emergence from shelter,,mixed,wild,wild,,BW,day,,,,,,,,,,,,
4,journalArticle,2024,"Georgiou, Demi; Reeves, Simon E.; Burke Da Silva, Karen; Fobert, Emily K.",Artificial light at night impacts night-time activity but not day-time behaviour in a diurnal coral reef fish,WOS,Basic and Applied Ecology,10.1016/j.baae.2023.11.009,"An important, yet overlooked form of anthropogenic pollution is sensory pollution, and one of the most pervasive forms of sensory pollution is artificial light at night (ALAN). Despite the growing use of ALAN across the globe, limited research has examined the impacts of ALAN on coral reef fish. This study aims to further our understanding of the behavioural impacts of light pollution on fish by exposing the humbug damselfish (Dascyllus aruanus) to ALAN (~15–25 lux, white LED light) over a period of 14 days, in situ. We assessed nocturnal activity, and diurnal shelter use and emergence time following a simulated threat in natural (control) and ALAN conditions. D. aruanus colonies exposed to ALAN were active at night and were lacking cryptic colouration observed in control fish, however this altered nocturnal activity did not appear to impact the diurnal behaviours we measured. Our findings provide critical insight into the impact of ALAN exposure to nocturnal behaviour of a diurnal fish and highlight the potential for increased risk of nocturnal predation under ALAN. Further studies with a longer ALAN exposure time will help illuminate the extent of behavioural changes and implications caused by ALAN in shallow coral reef systems.",en,australia,0.59,0.0795,78,126,NA,NA,NA,NA,0,20,336,white led,8,24,,,,V,LRR,5◦26′23.52′′N,73◦21′47.72′′E,Dascyllus aruanus,mixed,mixed,boldness,emergence from shelter,,mixed,wild,wild,,BW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,0.023672,5.86E-04,15,15,321.31,329.0067,21.77561,21.31756,0.03,20,24,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,0.01061,3.88E-04,15,15,332.6853,336.234,19.50672,16.42401,0.03,20,48,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
5,journalArticle,2024,"Li, Weiwei; Zhang, Dongxu; Zou, Qingqing; Bose, Aneesh P.H.; Jordan, Alex; McCallum, Erin S.; Bao, Jianghui; Duan, Ming",Behavioural and transgenerational effects of artificial light at night (ALAN) of varying spectral compositions in zebrafish (Danio rerio),WOS,Science of The Total Environment,10.1016/j.scitotenv.2024.176336,,en,china,-0.05346,4.23E-04,15,15,337.9313,320.3413,18.17314,18.80526,0.03,20,72,white led,10,24,s,s,nm,V,LRR,NA,NA,Danio rerio,adult,adult,anxiety,thigmotaxis,,female,lab,lab,28,AW,day,,,,,,,,,,,,
