fish.identity,sex,size,trial,tank,treatment,emergence.time,activity,decision.time,side.companions,side.chosen,decision.correct,time.with.companions,time.with.companions.binary,edge.time.perc
66,female,23.3,6,9,Dim,379,0.87,600,right,NA,NA,NA,NA,64.8829
66,female,23.3,7,9,Dim,480,0.92,60,right,left,0,37,0,NA
66,female,23.3,8,9,Dim,480,3.46,72,right,right,1,60,1,89.8148
66,female,23.3,9,9,Dim,431,0.12,600,right,NA,NA,NA,NA,99.1202
66,female,23.3,10,9,Dim,446,0.96,58,right,left,0,18,0,56.8493
67,male,19.6,1,9,Dim,31,2.58,72,right,left,0,60,1,4.52128
67,male,19.6,2,9,Dim,44,4.31,89,right,right,1,60,1,29.3907
67,male,19.6,3,9,Dim,28,3.37,108,right,right,1,60,1,20.979
67,male,19.6,4,9,Dim,13,3.73,72,right,left,0,60,1,9.73783
67,male,19.6,5,9,Dim,72,2.18,78,right,right,1,60,1,22.37761
67,male,19.6,6,9,Dim,32,1.91,114,right,left,0,51,0,18.62069
67,male,19.6,7,9,Dim,9,3.15,90,right,right,1,28,0,19.130465
67,male,19.6,8,9,Dim,13,1.87,21,right,right,1,16,0,7.62712
67,male,19.6,9,9,Dim,10,2.48,199,right,right,1,60,1,13.1034
67,male,19.6,10,9,Dim,20,2.16,96,right,right,1,9,0,10
68,male,15.9,1,9,Dim,32,4.15,72,right,right,1,60,1,11.03448
68,male,15.9,2,9,Dim,4,3.33,40,right,left,0,60,1,18.6992
68,male,15.9,3,9,Dim,6,2.80,65,right,left,0,60,1,4.7619
68,male,15.9,4,9,Dim,4,3.21,127,right,right,1,60,1,6.89655
68,male,15.9,5,9,Dim,3,2.48,164,right,left,0,60,1,6.25
68,male,15.9,6,9,Dim,1,4.28,102,right,right,1,60,1,36.7277
68,male,15.9,7,9,Dim,6,3.55,83,right,left,0,12,0,19.31031
68,male,15.9,8,9,Dim,1,3.65,49,right,left,0,35,0,39.7516
68,male,15.9,9,9,Dim,372,3.99,29,right,right,1,60,1,21.12297
68,male,15.9,10,9,Dim,8,2.02,47,right,left,0,52,0,43.0357
69,female,23.4,1,9,Dim,165,5.02,56,right,left,0,60,1,28.3018
69,female,23.4,2,9,Dim,66,4.91,21,right,left,0,60,1,31.72412
69,female,23.4,3,9,Dim,162,5.17,76,right,right,1,60,1,33.6283
69,female,23.4,4,9,Dim,48,7.21,34,right,left,0,60,1,37.40461
69,female,23.4,5,9,Dim,32,5.61,175,right,right,1,60,1,26.3158
69,female,23.4,6,9,Dim,50,4.36,9,right,right,1,52,0,45.7143
69,female,23.4,7,9,Dim,28,4.86,14,right,right,1,60,1,30.4348
69,female,23.4,8,9,Dim,19,5.23,44,right,right,1,60,1,18.72561
69,female,23.4,9,9,Dim,16,3.58,41,right,right,1,60,1,3.27869
69,female,23.4,10,9,Dim,24,3.19,33,right,left,0,60,1,40.56223
70,male,15.0,1,9,Dim,36,1.72,95,right,right,1,47,0,0
70,male,15.0,2,9,Dim,10,2.62,33,right,left,0,60,1,3.42466
70,male,15.0,3,9,Dim,9,2.80,79,right,left,0,33,0,10.1322
70,male,15.0,4,9,Dim,10,1.57,28,right,right,1,19,0,4.87421
70,male,15.0,5,9,Dim,8,1.73,26,right,right,1,60,1,12.6761
70,male,15.0,6,9,Dim,9,1.97,26,right,right,1,50,0,24.2424
70,male,15.0,7,9,Dim,23,3.06,68,right,right,1,60,1,17.8571
70,male,15.0,8,9,Dim,4,2.74,230,right,right,1,60,1,8.49421
70,male,15.0,9,9,Dim,17,3.28,267,right,left,0,60,1,17.30099
70,male,15.0,10,9,Dim,14,3.30,57,right,right,1,16,0,36.0927
