Subject_ID,Replicate,Treatment,Time,Distance_moved
C01.004,01,Control,10,3.40526
C01.004,01,Control,11,0.872883
C01.004,01,Control,12,6.90454
C01.004,01,Control,13,3.83345
C01.004,01,Control,14,5.74023
C01.004,01,Control,15,7.28302
C01.004,01,Control,16,1.48332
C01.004,01,Control,17,2.47458
C01.004,01,Control,18,0
C01.004,01,Control,19,2.82536
C01.004,01,Control,20,8.00354
C01.004,01,Control,21,12.8682
C01.004,01,Control,22,12.6325
C01.004,01,Control,23,1.62513
C01.004,01,Control,24,2.47253
C01.004,01,Control,25,3.94042
C01.004,01,Control,26,1.32543
C01.004,01,Control,27,12.713
C01.004,01,Control,28,15.6232
C01.004,01,Control,29,15.2799
C01.004,01,Control,30,13.3104
C01.004,01,Control,31,12.6841
C01.004,01,Control,32,15.3002
C01.004,01,Control,33,14.882
C01.004,01,Control,34,18.6988
C01.004,01,Control,35,14.1733
C01.004,01,Control,36,29.8824
C01.004,01,Control,37,28.1268
C01.004,01,Control,38,34.0216
C01.004,01,Control,39,13.6075
C01.004,01,Control,40,33.3654
C01.004,01,Control,41,30.9795
C01.004,01,Control,42,22.904
C01.004,01,Control,43,22.439
C01.004,01,Control,44,19.7418
C01.004,01,Control,45,25.4467
C01.004,01,Control,46,19.6698
C01.004,01,Control,47,27.8024
C01.004,01,Control,48,37.49
C01.004,01,Control,49,41.614
C01.004,01,Control,50,41.4415
C01.004,01,Control,51,37.3709
C01.004,01,Control,52,42.0361
C01.004,01,Control,53,29.3164
C01.004,01,Control,54,19.2828
C01.004,01,Control,55,16.0688
C01.004,01,Control,56,8.16805
C01.004,01,Control,57,3.58187
C01.004,01,Control,58,11.818
C01.004,01,Control,59,2.62108
C01.004,01,Control,60,9.74874
A01.005,01,ALAN,1,38.1524
A01.005,01,ALAN,2,0
A01.005,01,ALAN,3,0
A01.005,01,ALAN,4,0
A01.005,01,ALAN,5,0
A01.005,01,ALAN,6,0
A01.005,01,ALAN,7,0
A01.005,01,ALAN,8,0
A01.005,01,ALAN,9,0
A01.005,01,ALAN,10,0
A01.005,01,ALAN,11,0
A01.005,01,ALAN,12,0
A01.005,01,ALAN,13,0
A01.005,01,ALAN,14,0
A01.005,01,ALAN,15,0.68801
A01.005,01,ALAN,16,1.27505
A01.005,01,ALAN,17,0
A01.005,01,ALAN,18,0
A01.005,01,ALAN,19,0
A01.005,01,ALAN,20,0
A01.005,01,ALAN,21,0
A01.005,01,ALAN,22,0
A01.005,01,ALAN,23,0
A01.005,01,ALAN,24,0
A01.005,01,ALAN,25,0
A01.005,01,ALAN,26,0
A01.005,01,ALAN,27,0
A01.005,01,ALAN,28,0.818609
A01.005,01,ALAN,29,0.412391
A01.005,01,ALAN,30,0
A01.005,01,ALAN,31,0.402746
A01.005,01,ALAN,32,0.432214
A01.005,01,ALAN,33,0
A01.005,01,ALAN,34,0
A01.005,01,ALAN,35,0
A01.005,01,ALAN,36,0
A01.005,01,ALAN,37,0
A01.005,01,ALAN,38,0
A01.005,01,ALAN,39,0
A01.005,01,ALAN,40,0
A01.005,01,ALAN,41,0
A01.005,01,ALAN,42,0
A01.005,01,ALAN,43,0
A01.005,01,ALAN,44,0
A01.005,01,ALAN,45,0
A01.005,01,ALAN,46,0
A01.005,01,ALAN,47,0
A01.005,01,ALAN,48,0
A01.005,01,ALAN,49,0
A01.005,01,ALAN,50,0
A01.005,01,ALAN,51,0
A01.005,01,ALAN,52,1.48201
A01.005,01,ALAN,53,0
A01.005,01,ALAN,54,0
A01.005,01,ALAN,55,0
A01.005,01,ALAN,56,0
A01.005,01,ALAN,57,0
A01.005,01,ALAN,58,0
A01.005,01,ALAN,59,0
A01.005,01,ALAN,60,8.88632
A01.006,01,ALAN,1,44.3165
A01.006,01,ALAN,2,12.9323
A01.006,01,ALAN,3,13.0428
A01.006,01,ALAN,4,7.66797
A01.006,01,ALAN,5,5.16391
A01.006,01,ALAN,6,1.01739
A01.006,01,ALAN,7,0
A01.006,01,ALAN,8,0
A01.006,01,ALAN,9,2.50445
A01.006,01,ALAN,10,0
A01.006,01,ALAN,11,0
A01.006,01,ALAN,12,0
A01.006,01,ALAN,13,0
A01.006,01,ALAN,14,0
A01.006,01,ALAN,15,0
A01.006,01,ALAN,16,0
A01.006,01,ALAN,17,0.433092
A01.006,01,ALAN,18,0
A01.006,01,ALAN,19,0
A01.006,01,ALAN,20,0
A01.006,01,ALAN,21,0
A01.006,01,ALAN,22,0
A01.006,01,ALAN,23,0
A01.006,01,ALAN,24,0
A01.006,01,ALAN,25,0
A01.006,01,ALAN,26,0
A01.006,01,ALAN,27,0.450172
A01.006,01,ALAN,28,0.406035
A01.006,01,ALAN,29,0.437254
A01.006,01,ALAN,30,1.22739
A01.006,01,ALAN,31,1.06687
A01.006,01,ALAN,32,1.24268
A01.006,01,ALAN,33,0.409194
A01.006,01,ALAN,34,0
A01.006,01,ALAN,35,0
A01.006,01,ALAN,36,0
A01.006,01,ALAN,37,0
A01.006,01,ALAN,38,0
A01.006,01,ALAN,39,0
A01.006,01,ALAN,40,0
A01.006,01,ALAN,41,0
A01.006,01,ALAN,42,0.206787
A01.006,01,ALAN,43,0
A01.006,01,ALAN,44,0
A01.006,01,ALAN,45,0
A01.006,01,ALAN,46,0
A01.006,01,ALAN,47,0.813345
A01.006,01,ALAN,48,1.79198
A01.006,01,ALAN,49,0.447182
A01.006,01,ALAN,50,1.40379
A01.006,01,ALAN,51,1.21779
A01.006,01,ALAN,52,0
A01.006,01,ALAN,53,0
A01.006,01,ALAN,54,0
A01.006,01,ALAN,55,0
A01.006,01,ALAN,56,1.31305
A01.006,01,ALAN,57,1.57251
A01.006,01,ALAN,58,6.56889
A01.006,01,ALAN,59,3.62977
A01.006,01,ALAN,60,0.859297
A01.007,01,ALAN,1,84.593
A01.007,01,ALAN,2,1.3688
A01.007,01,ALAN,3,2.12759
A01.007,01,ALAN,4,1.29239
A01.007,01,ALAN,5,0
A01.007,01,ALAN,6,1.08494
A01.007,01,ALAN,7,0.407756
A01.007,01,ALAN,8,17.5021
A01.007,01,ALAN,9,28.6837
A01.007,01,ALAN,10,3.59726
A01.007,01,ALAN,11,5.6607
A01.007,01,ALAN,12,3.4808
A01.007,01,ALAN,13,9.28191
A01.007,01,ALAN,14,5.37843
A01.007,01,ALAN,15,9.39437
A01.007,01,ALAN,16,12.7259
A01.007,01,ALAN,17,13.2655
A01.007,01,ALAN,18,11.7677
A01.007,01,ALAN,19,0.984319
A01.007,01,ALAN,20,0.602933
A01.007,01,ALAN,21,0.446826
A01.007,01,ALAN,22,2.07459
A01.007,01,ALAN,23,5.94585
A01.007,01,ALAN,24,3.17578
A01.007,01,ALAN,25,14.6815
A01.007,01,ALAN,26,5.77635
A01.007,01,ALAN,27,20.699
A01.007,01,ALAN,28,1.62814
A01.007,01,ALAN,29,1.33382
A01.007,01,ALAN,30,0.423906
A01.007,01,ALAN,31,4.30086
A01.007,01,ALAN,32,3.83605
A01.007,01,ALAN,33,2.22653
A01.007,01,ALAN,34,3.72162
A01.007,01,ALAN,35,3.65587
A01.007,01,ALAN,36,2.74682
A01.007,01,ALAN,37,0
A01.007,01,ALAN,38,0
A01.007,01,ALAN,39,0
A01.007,01,ALAN,40,1.20842
A01.007,01,ALAN,41,2.09412
A01.007,01,ALAN,42,2.57787
A01.007,01,ALAN,43,2.43567
A01.007,01,ALAN,44,0.964965
A01.007,01,ALAN,45,0.439888
A01.007,01,ALAN,46,0.478406
A01.007,01,ALAN,47,0.940299
A01.007,01,ALAN,48,0.426846
A01.007,01,ALAN,49,3.29655
A01.007,01,ALAN,50,5.48161
A01.007,01,ALAN,51,9.79032
A01.007,01,ALAN,52,0
A01.007,01,ALAN,53,0
A01.007,01,ALAN,54,2.24092
A01.007,01,ALAN,55,3.59978
A01.007,01,ALAN,56,0.744049
A01.007,01,ALAN,57,0
A01.007,01,ALAN,58,0
A01.007,01,ALAN,59,0
A01.007,01,ALAN,60,0
A01.008,01,ALAN,1,26.589
A01.008,01,ALAN,2,0
A01.008,01,ALAN,3,0
A01.008,01,ALAN,4,0
A01.008,01,ALAN,5,0
A01.008,01,ALAN,6,0
A01.008,01,ALAN,7,0.204564
A01.008,01,ALAN,8,0.422099
A01.008,01,ALAN,9,0
A01.008,01,ALAN,10,0.437484
A01.008,01,ALAN,11,0
A01.008,01,ALAN,12,0
A01.008,01,ALAN,13,0
A01.008,01,ALAN,14,0
A01.008,01,ALAN,15,0
A01.008,01,ALAN,16,0
A01.008,01,ALAN,17,0
A01.008,01,ALAN,18,0
A01.008,01,ALAN,19,0
A01.008,01,ALAN,20,0
A01.008,01,ALAN,21,0
A01.008,01,ALAN,22,0
A01.008,01,ALAN,23,0
A01.008,01,ALAN,24,0
A01.008,01,ALAN,25,0
A01.008,01,ALAN,26,0
A01.008,01,ALAN,27,0
A01.008,01,ALAN,28,0
A01.008,01,ALAN,29,0
A01.008,01,ALAN,30,0
A01.008,01,ALAN,31,0
A01.008,01,ALAN,32,0
A01.008,01,ALAN,33,0
A01.008,01,ALAN,34,0
A01.008,01,ALAN,35,0
A01.008,01,ALAN,36,0
A01.008,01,ALAN,37,0
A01.008,01,ALAN,38,0
A01.008,01,ALAN,39,0
A01.008,01,ALAN,40,0
A01.008,01,ALAN,41,0
A01.008,01,ALAN,42,0
A01.008,01,ALAN,43,3.73464
A01.008,01,ALAN,44,18.0861
A01.008,01,ALAN,45,112.754
A01.008,01,ALAN,46,77.7333
A01.008,01,ALAN,47,2.59051
A01.008,01,ALAN,48,16.2254
