Subject_ID,Replicate,Treatment,Stimulation,Index
A01.011,01,ALAN,11,-0.563691997
A01.011,01,ALAN,12,-0.769760768
A01.011,01,ALAN,13,-0.907587279
A01.011,01,ALAN,14,-0.933847588
A01.011,01,ALAN,15,-0.877855093
A01.011,01,ALAN,16,-1
A01.011,01,ALAN,17,-1
A01.011,01,ALAN,18,-0.936058426
A01.011,01,ALAN,19,-1
A01.011,01,ALAN,20,-0.793551017
A01.011,01,ALAN,21,-1
A01.011,01,ALAN,22,-0.938822192
A01.011,01,ALAN,23,-1
A01.011,01,ALAN,24,-1
A01.011,01,ALAN,25,-0.869995441
A01.012,01,ALAN,1,-0.017500963
A01.012,01,ALAN,2,0.093114216
A01.012,01,ALAN,3,-1
A01.012,01,ALAN,4,12.97381351
A01.012,01,ALAN,5,7.801146935
A01.012,01,ALAN,6,6.479295322
A01.012,01,ALAN,7,1.16165192
A01.012,01,ALAN,8,1.165646705
A01.012,01,ALAN,9,0.88941266
A01.012,01,ALAN,10,-1
A01.012,01,ALAN,11,6.349476409
A01.012,01,ALAN,12,-1
A01.012,01,ALAN,13,-1
A01.012,01,ALAN,14,-1
A01.012,01,ALAN,15,-1
A01.012,01,ALAN,16,-1
A01.012,01,ALAN,17,-0.003257072
A01.012,01,ALAN,18,1.078926001
A01.012,01,ALAN,19,1.977158738
A01.012,01,ALAN,20,2.547526806
A01.012,01,ALAN,21,-0.038481703
A01.012,01,ALAN,22,-1
A01.012,01,ALAN,23,-1
A01.012,01,ALAN,24,-1
A01.012,01,ALAN,25,-1
C02.014,02,Control,1,-0.891842435
C02.014,02,Control,2,-1
C02.014,02,Control,3,-0.777306575
C02.014,02,Control,4,-1
C02.014,02,Control,5,-0.890237467
C02.014,02,Control,6,-0.733301351
C02.014,02,Control,7,-1
C02.014,02,Control,8,-0.874834359
C02.014,02,Control,9,-1
C02.014,02,Control,10,-1
C02.014,02,Control,11,-1
C02.014,02,Control,12,-1
C02.014,02,Control,13,-0.890272647
C02.014,02,Control,14,-1
C02.014,02,Control,15,-1
C02.014,02,Control,16,-1
C02.014,02,Control,17,-1
C02.014,02,Control,18,-1
C02.014,02,Control,19,-1
C02.014,02,Control,20,-1
C02.014,02,Control,21,-1
C02.014,02,Control,22,-0.881699848
C02.014,02,Control,23,-0.892549239
C02.014,02,Control,24,-1
C02.014,02,Control,25,-1
C02.015,02,Control,1,-1
C02.015,02,Control,2,-1
C02.015,02,Control,3,-1
C02.015,02,Control,4,-1
C02.015,02,Control,5,-1
C02.015,02,Control,6,-1
C02.015,02,Control,7,-1
C02.015,02,Control,8,-1
C02.015,02,Control,9,-1
C02.015,02,Control,10,-1
C02.015,02,Control,11,-1
C02.015,02,Control,12,-1
C02.015,02,Control,13,-1
C02.015,02,Control,14,-1
C02.015,02,Control,15,-1
C02.015,02,Control,16,-1
C02.015,02,Control,17,-1
C02.015,02,Control,18,-1
C02.015,02,Control,19,-1
C02.015,02,Control,20,-1
C02.015,02,Control,21,-1
C02.015,02,Control,22,-1
C02.015,02,Control,23,-1
C02.015,02,Control,24,-1
C02.015,02,Control,25,-1
C03.017,03,Control,1,-0.571966617
C03.017,03,Control,2,-0.98481643
C03.017,03,Control,3,-1
C03.017,03,Control,4,-1
C03.017,03,Control,5,-1
C03.017,03,Control,6,-1
C03.017,03,Control,7,-1
C03.017,03,Control,8,-1
C03.017,03,Control,9,-1
C03.017,03,Control,10,-1
C03.017,03,Control,11,-1
C03.017,03,Control,12,-1
C03.017,03,Control,13,-1
C03.017,03,Control,14,-1
C03.017,03,Control,15,-1
C03.017,03,Control,16,-1
C03.017,03,Control,17,-1
C03.017,03,Control,18,-1
C03.017,03,Control,19,-1
C03.017,03,Control,20,-1
C03.017,03,Control,21,-1
C03.017,03,Control,22,-1
C03.017,03,Control,23,-1
C03.017,03,Control,24,-1
C03.017,03,Control,25,-1
C03.020,03,Control,1,-1
C03.020,03,Control,2,-1
C03.020,03,Control,3,-1
C03.020,03,Control,4,-1
C03.020,03,Control,5,-1
C03.020,03,Control,6,-1
C03.020,03,Control,7,-1
C03.020,03,Control,8,-1
C03.020,03,Control,9,-1
C03.020,03,Control,10,-1
C03.020,03,Control,11,-1
C03.020,03,Control,12,-1
C03.020,03,Control,13,-1
C03.020,03,Control,14,-1
C03.020,03,Control,15,-1
C03.020,03,Control,16,-1
C03.020,03,Control,17,-1
C03.020,03,Control,18,-1
C03.020,03,Control,19,-1
C03.020,03,Control,20,-1
C03.020,03,Control,21,-1
C03.020,03,Control,22,-1
C03.020,03,Control,23,-1
C03.020,03,Control,24,-1
C03.020,03,Control,25,-1
A03.023,03,ALAN,1,0.8758754
A03.023,03,ALAN,2,-1
A03.023,03,ALAN,3,-1
A03.023,03,ALAN,4,-0.915448301
A03.023,03,ALAN,5,-1
A03.023,03,ALAN,6,-1
A03.023,03,ALAN,7,-1
A03.023,03,ALAN,8,-1
A03.023,03,ALAN,9,-1
A03.023,03,ALAN,10,-1
A03.023,03,ALAN,11,-1
A03.023,03,ALAN,12,-1
A03.023,03,ALAN,13,-1
A03.023,03,ALAN,14,-1
A03.023,03,ALAN,15,-1
A03.023,03,ALAN,16,-1
A03.023,03,ALAN,17,-1
A03.023,03,ALAN,18,-1
A03.023,03,ALAN,19,-1
A03.023,03,ALAN,20,-1
A03.023,03,ALAN,21,-1
A03.023,03,ALAN,22,-1
A03.023,03,ALAN,23,-1
A03.023,03,ALAN,24,-1
A03.023,03,ALAN,25,-1
A03.024,03,ALAN,1,-1
A03.024,03,ALAN,2,-1
A03.024,03,ALAN,3,-1
A03.024,03,ALAN,4,-1
A03.024,03,ALAN,5,-1
A03.024,03,ALAN,6,-1
A03.024,03,ALAN,7,-1
A03.024,03,ALAN,8,-1
A03.024,03,ALAN,9,-1
A03.024,03,ALAN,10,-1
A03.024,03,ALAN,11,-1
A03.024,03,ALAN,12,-1
A03.024,03,ALAN,13,-1
A03.024,03,ALAN,14,-1
A03.024,03,ALAN,15,-1
A03.024,03,ALAN,16,-1
A03.024,03,ALAN,17,-1
A03.024,03,ALAN,18,-1
A03.024,03,ALAN,19,-1
A03.024,03,ALAN,20,-1
A03.024,03,ALAN,21,-1
A03.024,03,ALAN,22,-1
A03.024,03,ALAN,23,-1
A03.024,03,ALAN,24,-1
A03.024,03,ALAN,25,-1
A04.025,04,ALAN,1,-1
A04.025,04,ALAN,2,-1
A04.025,04,ALAN,3,-1
A04.025,04,ALAN,4,-1
A04.025,04,ALAN,5,-1
A04.025,04,ALAN,6,-1
A04.025,04,ALAN,7,0.543141396
A04.025,04,ALAN,8,-0.687196589
A04.025,04,ALAN,9,-0.909311734
A04.025,04,ALAN,10,-1
A04.025,04,ALAN,11,-1
A04.025,04,ALAN,12,-1
A04.025,04,ALAN,13,-0.701763883
A04.025,04,ALAN,14,-0.50979737
A04.025,04,ALAN,15,-0.822058116
A04.025,04,ALAN,16,0.345861848
A04.025,04,ALAN,17,-1
A04.025,04,ALAN,18,-0.329314585
A04.025,04,ALAN,19,-1
A04.025,04,ALAN,20,-1
A04.025,04,ALAN,21,-1
A04.025,04,ALAN,22,-1
A04.025,04,ALAN,23,-1
A04.025,04,ALAN,24,-1
A04.025,04,ALAN,25,-1
A04.027,04,ALAN,1,-1
A04.027,04,ALAN,2,-1
A04.027,04,ALAN,3,-1
A04.027,04,ALAN,4,-1
A04.027,04,ALAN,5,-1
A04.027,04,ALAN,6,-1
A04.027,04,ALAN,7,-1
A04.027,04,ALAN,8,-1
A04.027,04,ALAN,9,-1
A04.027,04,ALAN,10,-1
A04.027,04,ALAN,11,-1
A04.027,04,ALAN,12,-1
A04.027,04,ALAN,13,-1
